"Creation date";"Finish date";"Internal id";"Organization user";"Requisite";"Method";"Status";"Amount";"Currency";"Crypto amount";"Trader profit"
"01.07.2025 09:58:07";"01.07.2025 10:33:53";"1321651";"WORK321";41835;"SBP";"Success";"3000";"RUB";"38,99";"1,21"
"01.07.2025 09:30:32";"01.07.2025 10:12:45";"1321606";"WORK321";41836;"CARD";"Success";"10000";"RUB";"129,29";"4,01"
"01.07.2025 09:20:23";"01.07.2025 09:53:06";"1321579";"WORK321";41835;"SBP";"Success";"5200";"RUB";"67,27";"2,09"
"01.07.2025 09:01:55";"01.07.2025 09:32:33";"1321554";"WORK321";41836;"CARD";"Success";"3600";"RUB";"46,8";"1,45"
"01.07.2025 08:15:48";"01.07.2025 08:57:05";"1321458";"WORK321";41836;"CARD";"Success";"8000";"RUB";"103,96";"3,23"
"01.07.2025 07:49:56";"01.07.2025 08:46:14";"1321415";"WORK321";41836;"CARD";"Success";"4400";"RUB";"57,08";"1,77"
"01.07.2025 07:49:30";"01.07.2025 08:51:57";"1321410";"WORK321";41835;"SBP";"Success";"7000";"RUB";"90,82";"2,82"
"01.07.2025 06:55:29";"01.07.2025 08:28:27";"1321299";"WORK321";41836;"CARD";"Success";"4400";"RUB";"57,44";"1,78"
"01.07.2025 06:16:17";"01.07.2025 07:51:57";"1321217";"WORK321";41835;"SBP";"Success";"6000";"RUB";"78,31";"2,43"
"01.07.2025 06:01:14";"01.07.2025 08:01:34";"1321193";"WORK321";41835;"SBP";"Success";"6000";"RUB";"78,47";"2,44"
"01.07.2025 05:46:04";"01.07.2025 07:14:39";"1321166";"WORK321";41836;"CARD";"Cancelled";"3000";"RUB";"39,23";"1,22"
"01.07.2025 05:26:00";"01.07.2025 07:31:44";"1321135";"WORK321";41835;"SBP";"Success";"5000";"RUB";"65,34";"2,02"
"01.07.2025 04:54:47";"01.07.2025 06:48:55";"1321082";"WORK321";41836;"CARD";"Success";"10000";"RUB";"131,05";"4,06"
"01.07.2025 04:49:59";"01.07.2025 05:54:09";"1321070";"WORK321";41835;"SBP";"Success";"3500";"RUB";"45,88";"1,43"
"01.07.2025 04:13:32";"01.07.2025 06:13:51";"1321006";"WORK321";41835;"SBP";"Success";"5500";"RUB";"72,07";"2,24"
"01.07.2025 04:03:40";"01.07.2025 04:21:44";"1320991";"WORK321";41836;"CARD";"Success";"20000";"RUB";"263,16";"8,16"
"01.07.2025 03:50:06";"01.07.2025 05:32:32";"1320970";"WORK321";41835;"SBP";"Success";"3000";"RUB";"39,43";"1,23"
"01.07.2025 03:19:32";"01.07.2025 03:58:17";"1320913";"WORK321";41835;"SBP";"Success";"3000";"RUB";"39,71";"1,23"
"01.07.2025 03:19:20";"01.07.2025 03:42:41";"1320911";"WORK321";41835;"SBP";"Success";"3000";"RUB";"39,71";"1,23"
