"Creation date";"Finish date";"Internal id";"Organization user";"Requisite";"Method";"Status";"Amount";"Currency";"Crypto amount";"Trader profit"
"01.07.2025 09:17:05";"01.07.2025 09:31:14";"1321574";"Morro_1";33771;"SBP";"Success";"4500";"RUB";"58,21";"1,8"
"01.07.2025 09:01:34";"01.07.2025 10:28:59";"1321553";"Morro_1";33770;"CARD";"Success";"5900";"RUB";"76,7";"2,38"
"01.07.2025 08:32:50";"01.07.2025 10:34:47";"1321498";"Morro_1";33770;"CARD";"Success";"3600";"RUB";"46,78";"1,45"
"01.07.2025 08:25:15";"01.07.2025 09:19:45";"1321484";"Morro_1";33771;"SBP";"Success";"3000";"RUB";"38,98";"1,21"
"01.07.2025 07:15:55";"01.07.2025 08:04:22";"1321335";"Morro_1";33771;"SBP";"Success";"6000";"RUB";"77,91";"2,42"
"01.07.2025 06:45:17";"01.07.2025 07:16:14";"1321280";"Morro_1";33771;"SBP";"Success";"3000";"RUB";"39,27";"1,22"
"01.07.2025 06:24:58";"01.07.2025 09:26:17";"1321237";"Morro_1";33770;"CARD";"Failed";"19300";"RUB";"251,9";"7,81"
"01.07.2025 05:51:30";"01.07.2025 07:41:47";"1321174";"Morro_1";33771;"SBP";"Success";"5000";"RUB";"65,39";"2,03"
"01.07.2025 05:03:41";"01.07.2025 05:33:26";"1321098";"Morro_1";33771;"SBP";"Success";"3000";"RUB";"39,26";"1,21"
"01.07.2025 04:54:03";"01.07.2025 06:49:00";"1321081";"Morro_1";33770;"CARD";"Success";"4000";"RUB";"52,42";"1,63"
"01.07.2025 04:53:34";"01.07.2025 06:35:26";"1321079";"Morro_1";33771;"SBP";"Success";"7100";"RUB";"93,04";"2,88"
"01.07.2025 04:42:40";"01.07.2025 05:59:01";"1321052";"Morro_1";33771;"SBP";"Success";"4000";"RUB";"52,34";"1,62"
"01.07.2025 04:26:31";"01.07.2025 05:45:34";"1321035";"Morro_1";33771;"SBP";"Success";"3000";"RUB";"39,27";"1,22"
"01.07.2025 04:24:22";"01.07.2025 08:39:48";"1321030";"Morro_1";33770;"CARD";"Failed";"8000";"RUB";"104,73";"3,24"
"01.07.2025 04:19:45";"01.07.2025 05:30:44";"1321021";"Morro_1";33771;"SBP";"Success";"3000";"RUB";"39,31";"1,22"
"01.07.2025 04:00:05";"01.07.2025 05:26:32";"1320984";"Morro_1";33771;"SBP";"Success";"3000";"RUB";"39,47";"1,22"
"01.07.2025 03:59:05";"01.07.2025 05:27:00";"1320981";"Morro_1";33771;"SBP";"Success";"3000";"RUB";"39,47";"1,22"
"01.07.2025 03:39:27";"01.07.2025 05:29:39";"1320956";"Morro_1";33771;"SBP";"Success";"3000";"RUB";"39,4";"1,22"
"01.07.2025 03:31:58";"01.07.2025 04:18:35";"1320943";"Morro_1";33770;"CARD";"Success";"20000";"RUB";"263,32";"8,16"
"01.07.2025 03:27:06";"01.07.2025 05:12:36";"1320936";"Morro_1";33771;"SBP";"Success";"4000";"RUB";"52,66";"1,63"
"01.07.2025 03:22:30";"01.07.2025 04:55:40";"1320929";"Morro_1";33771;"SBP";"Success";"3000";"RUB";"39,49";"1,22"
