"Creation date";"Finish date";"Internal id";"Organization user";"Requisite";"Method";"Status";"Amount";"Currency";"Crypto amount";"Trader profit"
"01.07.2025 10:06:33";"01.07.2025 12:07:12";"1321679";"Morro_3";34590;"SBP";"Success";"4001";"RUB";"52";"1,61"
"01.07.2025 09:44:25";"01.07.2025 11:48:47";"1321624";"Morro_3";34590;"SBP";"Success";"3000";"RUB";"38,94";"1,2"
"01.07.2025 09:24:42";"01.07.2025 11:23:44";"1321592";"Morro_3";34590;"SBP";"Success";"45000";"RUB";"581,8";"18,04"
"01.07.2025 08:48:32";"01.07.2025 09:24:45";"1321529";"Morro_3";34590;"SBP";"Success";"4000";"RUB";"52,01";"1,61"
"01.07.2025 08:35:30";"01.07.2025 09:04:10";"1321505";"Morro_3";34590;"SBP";"Success";"3000";"RUB";"38,98";"1,21"
"01.07.2025 07:30:18";"01.07.2025 08:18:16";"1321364";"Morro_3";34590;"SBP";"Success";"4000";"RUB";"52,03";"1,62"
"01.07.2025 07:20:58";"01.07.2025 09:19:07";"1321344";"Morro_3";34591;"CARD";"Success";"35000";"RUB";"454,47";"14,09"
"01.07.2025 07:14:15";"01.07.2025 08:45:42";"1321331";"Morro_3";34591;"CARD";"Success";"14000";"RUB";"181,79";"5,64"
"01.07.2025 06:55:08";"01.07.2025 08:23:46";"1321295";"Morro_3";34590;"SBP";"Success";"7000";"RUB";"91,38";"2,83"
"01.07.2025 05:51:49";"01.07.2025 06:15:55";"1321176";"Morro_3";34591;"CARD";"Success";"3400";"RUB";"44,46";"1,38"
"01.07.2025 05:35:31";"01.07.2025 05:54:56";"1321152";"Morro_3";34591;"CARD";"Success";"3000";"RUB";"39,3";"1,21"
"01.07.2025 05:24:12";"01.07.2025 06:44:01";"1321133";"Morro_3";34590;"SBP";"Success";"3500";"RUB";"45,74";"1,42"
"01.07.2025 05:23:08";"01.07.2025 06:44:52";"1321130";"Morro_3";34590;"SBP";"Success";"4000";"RUB";"52,27";"1,62"
"01.07.2025 05:05:42";"01.07.2025 05:16:46";"1321103";"Morro_3";34590;"SBP";"Cancelled";"5000";"RUB";"65,44";"2,03"
"01.07.2025 04:03:18";"01.07.2025 05:02:12";"1320989";"Morro_3";34590;"SBP";"Success";"5000";"RUB";"65,79";"2,04"
"01.07.2025 03:15:29";"01.07.2025 05:29:03";"1320906";"Morro_3";34591;"CARD";"Success";"3000";"RUB";"39,71";"1,23"
"01.07.2025 03:07:21";"01.07.2025 03:31:08";"1320900";"Morro_3";34590;"SBP";"Success";"5000";"RUB";"66,17";"2,06"
"01.07.2025 03:05:55";"01.07.2025 03:59:37";"1320899";"Morro_3";34590;"SBP";"Success";"3000";"RUB";"39,7";"1,23"
"01.07.2025 02:55:54";"01.07.2025 04:22:09";"1320894";"Morro_3";34590;"SBP";"Success";"3000";"RUB";"39,88";"1,24"
